wrong 	spelling 	7.5secs 	ninety 	n_____ 	!= 	_nnety 	RunAve=runAve spelling: 0/1  0% 7.5secs 	Tue Jan 12 2021 21:58:42 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	lemonundefined 	l____ 	== 	_emon 	RunAve=runAve spelling: 5/5 100% 1.9secs 	Tue Jan 12 2021 22:10:12 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	planundefined 	p___ 	== 	_lan 	RunAve=runAve spelling: 6/6 100% 2.0secs 	Tue Jan 12 2021 22:10:33 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	gushundefined 	g___ 	== 	_ush 	RunAve=runAve spelling: 7/7 100% 2.2secs 	Tue Jan 12 2021 22:10:54 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	-5 * 11 	What is -5 * 11? 	== 	-55 	RunAve=runAve math: 9/9 100% 2.2secs 	Tue Jan 12 2021 22:11:13 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	termundefined 	t___ 	== 	_erm 	RunAve=runAve spelling: 8/8 100% 2.3secs 	Tue Jan 12 2021 22:11:34 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	11 * 5 	What is 11 * 5? 	== 	55 	RunAve=runAve math: 10/10 100% 2.2secs 	Tue Jan 12 2021 22:11:52 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	boneundefined 	b___ 	== 	_one 	RunAve=runAve spelling: 9/9 100% 2.3secs 	Tue Jan 12 2021 22:12:13 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	estateundefined 	e_____ 	== 	_state 	RunAve=runAve spelling: 10/10 100% 2.3secs 	Tue Jan 12 2021 22:12:33 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	gapundefined 	g__ 	== 	_ap 	RunAve=runAve spelling: 11/11 100% 2.2secs 	Tue Jan 12 2021 22:12:52 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	contendundefined 	c______ 	== 	_ontend 	RunAve=runAve spelling: 12/12 100% 2.3secs 	Tue Jan 12 2021 22:13:13 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	baskundefined 	b___ 	== 	_ask 	RunAve=runAve spelling: 13/13 100% 2.3secs 	Tue Jan 12 2021 22:13:32 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	canopyundefined 	c_____ 	== 	_anopy 	RunAve=runAve spelling: 14/14 100% 2.2secs 	Tue Jan 12 2021 22:13:52 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	chaseundefined 	c____ 	== 	_hase 	RunAve=runAve spelling: 15/15 100% 2.2secs 	Tue Jan 12 2021 22:14:12 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	1 * 4 	What is 1 * 4? 	== 	4 	RunAve=runAve math: 11/11 100% 2.1secs 	Tue Jan 12 2021 22:14:32 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	refusalundefined 	r______ 	== 	_efusal 	RunAve=runAve spelling: 16/16 100% 2.2secs 	Tue Jan 12 2021 22:14:54 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	letterundefined 	le____ 	== 	__tter 	RunAve=runAve spelling: 17/17 100% 2.3secs 	Tue Jan 12 2021 22:15:13 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	tradeundefined 	tr___ 	== 	__ade 	RunAve=runAve spelling: 18/18 100% 2.2secs 	Tue Jan 12 2021 22:15:33 GMT-0600 (Central Standard Time)
wrong 	math 	0.4secs 	9 * 10 	What is 9 * 10? 	!= 	99 	RunAve=runAve math: 11/12 91% 1.9secs 	Tue Jan 12 2021 22:15:51 GMT-0600 (Central Standard Time)
wrong 	math 	0.4secs 	9 * 8 	What is 9 * 8? 	!= 	63 	RunAve=runAve math: 11/13 84% 1.8secs 	Tue Jan 12 2021 22:16:11 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	9 * 9 	What is 9 * 9? 	== 	81 	RunAve=runAve math: 12/14 85% 1.8secs 	Tue Jan 12 2021 22:16:32 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	9 * 10 	What is 9 * 10? 	== 	90 	RunAve=runAve math: 13/15 86% 1.8secs 	Tue Jan 12 2021 22:16:52 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	landundefined 	l___ 	== 	_and 	RunAve=runAve spelling: 19/19 100% 2.2secs 	Tue Jan 12 2021 22:17:12 GMT-0600 (Central Standard Time)
correct 	math 	4.5secs 	9 * 6 	What is 9 * 6? 	== 	54 	RunAve=runAve math: 14/16 87% 2.0secs 	Tue Jan 12 2021 22:17:35 GMT-0600 (Central Standard Time)
correct 	math 	4.7secs 	9 * 7 	What is 9 * 7? 	== 	63 	RunAve=runAve math: 15/17 88% 2.1secs 	Tue Jan 12 2021 22:17:55 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	9 * 8 	What is 9 * 8? 	== 	72 	RunAve=runAve math: 16/18 88% 2.2secs 	Tue Jan 12 2021 22:18:13 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	9 * 12 	What is 9 * 12? 	== 	108 	RunAve=runAve math: 17/19 89% 2.2secs 	Tue Jan 12 2021 22:18:33 GMT-0600 (Central Standard Time)
wrong 	spelling 	3.1secs 	dragonundefined 	dr____ 	!= 	__egon 	RunAve=runAve spelling: 19/20 95% 2.3secs 	Tue Jan 12 2021 22:18:54 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	dragon5 	drago_ 	== 	_____n 	RunAve=runAve spelling: 20/21 95% 2.3secs 	Tue Jan 12 2021 22:19:13 GMT-0600 (Central Standard Time)
correct 	spelling 	14.3secs 	dragonundefined 	d_____ 	== 	_ragon 	RunAve=runAve spelling: 21/22 95% 2.8secs 	Tue Jan 12 2021 22:19:45 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	wagonundefined 	w____ 	== 	_agon 	RunAve=runAve spelling: 22/23 95% 2.8secs 	Tue Jan 12 2021 22:19:53 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	agonyundefined 	a____ 	== 	_gony 	RunAve=runAve spelling: 23/24 95% 2.7secs 	Tue Jan 12 2021 22:20:12 GMT-0600 (Central Standard Time)
wrong 	spelling 	4.2secs 	considerundefined 	c_______ 	!= 	_onsidor 	RunAve=runAve spelling: 23/25 92% 2.8secs 	Tue Jan 12 2021 22:20:35 GMT-0600 (Central Standard Time)
correct 	math 	1.3secs 	3 * 2 	What is 3 * 2? 	== 	6 	RunAve=runAve math: 1/1 100% 1.3secs 	Tue Jan 12 2021 22:22:35 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	dim 	d__ 	== 	_im 	RunAve=runAve spelling: 1/1 100% 1.8secs 	Tue Jan 12 2021 22:22:55 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	9 + 6 	What is 9 + 6? 	== 	15 	RunAve=runAve math: 2/2 100% 1.5secs 	Tue Jan 12 2021 22:23:15 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	clap 	c___ 	== 	_lap 	RunAve=runAve spelling: 2/2 100% 1.6secs 	Tue Jan 12 2021 22:23:55 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	clung 	cl___ 	== 	__ung 	RunAve=runAve spelling: 3/3 100% 2.1secs 	Tue Jan 12 2021 22:24:37 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	crude 	c____ 	== 	_rude 	RunAve=runAve spelling: 4/4 100% 2.1secs 	Tue Jan 12 2021 22:24:56 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	4 + 4 	What is 4 + 4? 	== 	8 	RunAve=runAve math: 3/3 100% 1.5secs 	Tue Jan 12 2021 22:25:15 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	7 * 12 	What is 7 * 12? 	== 	84 	RunAve=runAve math: 4/4 100% 1.6secs 	Tue Jan 12 2021 22:25:36 GMT-0600 (Central Standard Time)
correct 	spelling 	5.1secs 	bemoan 	b_____ 	== 	_emoan 	RunAve=runAve spelling: 5/5 100% 2.7secs 	Tue Jan 12 2021 22:25:59 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	1 * 2 	What is 1 * 2? 	== 	2 	RunAve=runAve math: 5/5 100% 1.7secs 	Tue Jan 12 2021 22:26:16 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	10 * 12 	What is 10 * 12? 	== 	120 	RunAve=runAve math: 6/6 100% 1.9secs 	Tue Jan 12 2021 22:26:36 GMT-0600 (Central Standard Time)
wrong 	spelling 	4.9secs 	threat 	th____ 	!= 	__reet 	RunAve=runAve spelling: 5/6 83% 3.0secs 	Tue Jan 12 2021 22:26:59 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	threat5 	threa_ 	== 	_____t 	RunAve=runAve spelling: 6/7 85% 3.0secs 	Tue Jan 12 2021 22:27:16 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	deaf 	d___ 	== 	_eaf 	RunAve=runAve spelling: 7/8 87% 2.9secs 	Tue Jan 12 2021 22:27:36 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	wealth 	w_____ 	== 	_ealth 	RunAve=runAve spelling: 8/9 88% 2.8secs 	Tue Jan 12 2021 22:28:16 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	instead 	i______ 	== 	_nstead 	RunAve=runAve spelling: 9/10 90% 2.8secs 	Tue Jan 12 2021 22:28:36 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	threat5 	threa_ 	== 	_____t 	RunAve=runAve spelling: 10/11 90% 2.7secs 	Tue Jan 12 2021 22:28:55 GMT-0600 (Central Standard Time)
correct 	spelling 	5.1secs 	deaf 	d___ 	== 	_eaf 	RunAve=runAve spelling: 11/12 91% 2.9secs 	Tue Jan 12 2021 22:29:19 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	threat 	t_____ 	== 	_hreat 	RunAve=runAve spelling: 12/13 92% 2.9secs 	Tue Jan 12 2021 22:29:37 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	wealth 	w_____ 	== 	_ealth 	RunAve=runAve spelling: 13/14 92% 3.0secs 	Tue Jan 12 2021 22:29:57 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	instead 	in_____ 	== 	__stead 	RunAve=runAve spelling: 14/15 93% 3.0secs 	Tue Jan 12 2021 22:30:17 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	4 * 8 	What is 4 * 8? 	== 	32 	RunAve=runAve math: 7/7 100% 1.9secs 	Tue Jan 12 2021 22:30:36 GMT-0600 (Central Standard Time)
correct 	math 	4.3secs 	12 * 3 	What is 12 * 3? 	== 	36 	RunAve=runAve math: 8/8 100% 2.2secs 	Tue Jan 12 2021 22:30:58 GMT-0600 (Central Standard Time)
correct 	math 	1.2secs 	25 / 5 	What is 25 / 5? 	== 	5 	RunAve=runAve math: 9/9 100% 2.1secs 	Tue Jan 12 2021 22:31:15 GMT-0600 (Central Standard Time)
correct 	spelling 	3.8secs 	cross 	cr___ 	== 	__oss 	RunAve=runAve spelling: 15/16 93% 3.0secs 	Tue Jan 12 2021 22:31:38 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	last 	l___ 	== 	_ast 	RunAve=runAve spelling: 16/17 94% 3.0secs 	Tue Jan 12 2021 22:31:56 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	1 + 5 	What is 1 + 5? 	== 	6 	RunAve=runAve math: 10/10 100% 2.0secs 	Tue Jan 12 2021 22:32:15 GMT-0600 (Central Standard Time)
correct 	math 	3.8secs 	1 * -5 	What is 1 * -5? 	== 	-5 	RunAve=runAve math: 11/11 100% 2.2secs 	Tue Jan 12 2021 22:32:38 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	4 * 5 	What is 4 * 5? 	== 	20 	RunAve=runAve math: 12/12 100% 2.1secs 	Tue Jan 12 2021 22:32:56 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	11 * 5 	What is 11 * 5? 	== 	55 	RunAve=runAve math: 13/13 100% 2.2secs 	Tue Jan 12 2021 22:33:16 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	spool 	sp___ 	== 	__ool 	RunAve=runAve spelling: 17/18 94% 3.0secs 	Tue Jan 12 2021 22:33:36 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.8secs 	distract 	distr___ 	!= 	_____uct 	RunAve=runAve spelling: 17/19 89% 2.9secs 	Tue Jan 12 2021 22:33:57 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	distract7 	distrac_ 	== 	_______t 	RunAve=runAve spelling: 18/20 90% 2.9secs 	Tue Jan 12 2021 22:34:15 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	rabid 	r____ 	== 	_abid 	RunAve=runAve spelling: 19/21 90% 2.9secs 	Tue Jan 12 2021 22:34:37 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	acrid 	a____ 	== 	_crid 	RunAve=runAve spelling: 20/22 90% 2.9secs 	Tue Jan 12 2021 22:34:57 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	distract 	di______ 	== 	__stract 	RunAve=runAve spelling: 21/23 91% 2.9secs 	Tue Jan 12 2021 22:35:17 GMT-0600 (Central Standard Time)
correct 	spelling 	4.9secs 	credit 	cr____ 	== 	__edit 	RunAve=runAve spelling: 22/24 91% 3.0secs 	Tue Jan 12 2021 22:35:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	bake 	b___ 	== 	_ake 	RunAve=runAve spelling: 23/25 92% 2.9secs 	Tue Jan 12 2021 22:36:16 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	moon 	m___ 	== 	_oon 	RunAve=runAve spelling: 23/25 92% 3.0secs 	Tue Jan 12 2021 22:36:57 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.8secs 	element 	e______ 	!= 	_elemet 	RunAve=runAve spelling: 22/25 88% 3.0secs 	Tue Jan 12 2021 22:37:16 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	element6 	elemen_ 	== 	______t 	RunAve=runAve spelling: 22/25 88% 2.9secs 	Tue Jan 12 2021 22:37:35 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	element 	e______ 	== 	_lement 	RunAve=runAve spelling: 22/25 88% 2.9secs 	Tue Jan 12 2021 22:37:55 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	1 * -6 	What is 1 * -6? 	== 	-6 	RunAve=runAve math: 14/14 100% 2.1secs 	Tue Jan 12 2021 22:39:16 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	simple 	s_____ 	== 	_imple 	RunAve=runAve spelling: 22/25 88% 2.8secs 	Tue Jan 12 2021 22:39:56 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	patch 	pa___ 	== 	__tch 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Tue Jan 12 2021 22:40:36 GMT-0600 (Central Standard Time)
correct 	math 	2.7secs 	3 - 10 	What is 3 - 10? 	== 	-7 	RunAve=runAve math: 15/15 100% 2.2secs 	Tue Jan 12 2021 22:41:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	note 	n___ 	== 	_ote 	RunAve=runAve spelling: 23/25 92% 2.6secs 	Tue Jan 12 2021 22:42:16 GMT-0600 (Central Standard Time)
wrong 	math 	2.4secs 	48 / 8 	What is 48 / 8? 	!= 	4 	RunAve=runAve math: 15/16 93% 2.2secs 	Tue Jan 12 2021 22:42:37 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	8 * 6 	What is 8 * 6? 	== 	48 	RunAve=runAve math: 16/17 94% 2.2secs 	Tue Jan 12 2021 22:42:56 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	6 * 8 	What is 6 * 8? 	== 	48 	RunAve=runAve math: 17/18 94% 2.1secs 	Tue Jan 12 2021 22:43:16 GMT-0600 (Central Standard Time)
correct 	math 	2.7secs 	48 / 8 	What is 48 / 8? 	== 	6 	RunAve=runAve math: 18/19 94% 2.2secs 	Tue Jan 12 2021 22:43:37 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	48 / 6 	What is 48 / 6? 	== 	8 	RunAve=runAve math: 19/20 95% 2.2secs 	Tue Jan 12 2021 22:43:57 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	7 * 10 	What is 7 * 10? 	== 	70 	RunAve=runAve math: 20/21 95% 2.1secs 	Tue Jan 12 2021 22:44:16 GMT-0600 (Central Standard Time)
wrong 	math 	4.3secs 	-4 - 9 	What is -4 - 9? 	!= 	-15 	RunAve=runAve math: 20/22 90% 2.2secs 	Tue Jan 12 2021 22:44:39 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	-4 - 7 	What is -4 - 7? 	== 	-11 	RunAve=runAve math: 21/23 91% 2.2secs 	Tue Jan 12 2021 22:44:57 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	-4 - 8 	What is -4 - 8? 	== 	-12 	RunAve=runAve math: 22/24 91% 2.2secs 	Tue Jan 12 2021 22:45:16 GMT-0600 (Central Standard Time)
correct 	math 	4.3secs 	-4 - 9 	What is -4 - 9? 	== 	-13 	RunAve=runAve math: 23/25 92% 2.3secs 	Tue Jan 12 2021 22:45:39 GMT-0600 (Central Standard Time)
correct 	math 	1.1secs 	1 - 0 	What is 1 - 0? 	== 	1 	RunAve=runAve math: 23/25 92% 2.3secs 	Tue Jan 12 2021 22:45:55 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	4 - 3 	What is 4 - 3? 	== 	1 	RunAve=runAve math: 23/25 92% 2.3secs 	Tue Jan 12 2021 22:46:16 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	twine 	tw___ 	== 	__ine 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Tue Jan 12 2021 22:46:57 GMT-0600 (Central Standard Time)
correct 	math 	1.1secs 	0 * 4 	What is 0 * 4? 	== 	0 	RunAve=runAve math: 23/25 92% 2.3secs 	Tue Jan 12 2021 22:47:15 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	gum 	g__ 	== 	_um 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Tue Jan 12 2021 22:47:37 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	0 + -5 	What is 0 + -5? 	== 	-5 	RunAve=runAve math: 23/25 92% 2.3secs 	Tue Jan 12 2021 22:47:56 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	9 + 8 	What is 9 + 8? 	== 	17 	RunAve=runAve math: 23/25 92% 2.2secs 	Tue Jan 12 2021 22:48:16 GMT-0600 (Central Standard Time)
wrong 	math 	0.4secs 	0 - 9 	What is 0 - 9? 	!= 	-12 	RunAve=runAve math: 22/25 88% 2.1secs 	Tue Jan 12 2021 22:48:35 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	0 - 7 	What is 0 - 7? 	== 	-7 	RunAve=runAve math: 22/25 88% 2.1secs 	Tue Jan 12 2021 22:48:56 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	0 - 8 	What is 0 - 8? 	== 	-8 	RunAve=runAve math: 22/25 88% 2.0secs 	Tue Jan 12 2021 22:49:16 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	0 - 9 	What is 0 - 9? 	== 	-9 	RunAve=runAve math: 22/25 88% 2.0secs 	Tue Jan 12 2021 22:49:36 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	beast 	b____ 	== 	_east 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Tue Jan 12 2021 22:49:58 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	real 	r___ 	== 	_eal 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Tue Jan 12 2021 22:50:17 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	2 + -1 	What is 2 + -1? 	== 	1 	RunAve=runAve math: 22/25 88% 2.1secs 	Tue Jan 12 2021 22:50:36 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	12 * 2 	What is 12 * 2? 	== 	24 	RunAve=runAve math: 22/25 88% 2.0secs 	Tue Jan 12 2021 22:50:56 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	proof 	p____ 	== 	_roof 	RunAve=runAve spelling: 23/25 92% 2.6secs 	Tue Jan 12 2021 22:51:16 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	invent 	i_____ 	== 	_nvent 	RunAve=runAve spelling: 23/25 92% 2.5secs 	Tue Jan 12 2021 22:51:36 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	-7 + 5 	What is -7 + 5? 	== 	-2 	RunAve=runAve math: 22/25 88% 2.0secs 	Tue Jan 12 2021 22:51:56 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	8 + 10 	What is 8 + 10? 	== 	18 	RunAve=runAve math: 22/25 88% 1.9secs 	Tue Jan 12 2021 22:52:16 GMT-0600 (Central Standard Time)
correct 	math 	1.3secs 	0 * 1 	What is 0 * 1? 	== 	0 	RunAve=runAve math: 22/25 88% 1.9secs 	Tue Jan 12 2021 22:52:36 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	-1 + 10 	What is -1 + 10? 	== 	9 	RunAve=runAve math: 22/25 88% 1.9secs 	Tue Jan 12 2021 22:52:58 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	swine 	s____ 	== 	_wine 	RunAve=runAve spelling: 23/25 92% 2.4secs 	Tue Jan 12 2021 22:53:16 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	2 * -10 	What is 2 * -10? 	== 	-20 	RunAve=runAve math: 23/25 92% 1.9secs 	Tue Jan 12 2021 22:54:16 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	10 * 12 	What is 10 * 12? 	== 	120 	RunAve=runAve math: 23/25 92% 2.0secs 	Tue Jan 12 2021 22:54:38 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	1 * 2 	What is 1 * 2? 	== 	2 	RunAve=runAve math: 23/25 92% 2.0secs 	Tue Jan 12 2021 22:54:56 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	-9 * 1 	What is -9 * 1? 	== 	-9 	RunAve=runAve math: 23/25 92% 2.0secs 	Tue Jan 12 2021 22:55:17 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	7 * 8 	What is 7 * 8? 	== 	56 	RunAve=runAve math: 23/25 92% 2.0secs 	Tue Jan 12 2021 22:55:37 GMT-0600 (Central Standard Time)
correct 	math 	4.3secs 	6 * 0 	What is 6 * 0? 	== 	0 	RunAve=runAve math: 23/25 92% 2.1secs 	Tue Jan 12 2021 22:55:59 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	5 * 9 	What is 5 * 9? 	== 	45 	RunAve=runAve math: 24/25 96% 2.0secs 	Tue Jan 12 2021 22:56:17 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	churn 	ch___ 	== 	__urn 	RunAve=runAve spelling: 23/25 92% 2.4secs 	Tue Jan 12 2021 22:56:37 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	bean 	b___ 	== 	_ean 	RunAve=runAve spelling: 23/25 92% 2.4secs 	Tue Jan 12 2021 22:56:57 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	1 * 7 	What is 1 * 7? 	== 	7 	RunAve=runAve math: 24/25 96% 2.0secs 	Tue Jan 12 2021 22:57:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	god 	g__ 	== 	_od 	RunAve=runAve spelling: 23/25 92% 2.3secs 	Tue Jan 12 2021 22:57:36 GMT-0600 (Central Standard Time)
correct 	spelling 	4.1secs 	meeting 	mee____ 	== 	___ting 	RunAve=runAve spelling: 23/25 92% 2.4secs 	Tue Jan 12 2021 22:57:59 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	weak 	w___ 	== 	_eak 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Tue Jan 12 2021 22:58:18 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	11 * 4 	What is 11 * 4? 	== 	44 	RunAve=runAve math: 24/25 96% 2.0secs 	Tue Jan 12 2021 22:58:37 GMT-0600 (Central Standard Time)
correct 	spelling 	4.6secs 	manila 	m_____ 	== 	_anila 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Tue Jan 12 2021 22:58:59 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	-6 + 2 	What is -6 + 2? 	== 	-4 	RunAve=runAve math: 24/25 96% 1.9secs 	Tue Jan 12 2021 22:59:16 GMT-0600 (Central Standard Time)
